"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL)
22700,-313675.7398,64746.13987,-248929.6,299.9445919,0.95800248
22800,-314509.3676,65209.40736,-249299.9603,302.0907364,0.95800248
22900,-313641.9375,64481.35932,-249160.5782,298.7179629,0.95800248
23000,-313826.9467,64731.8987,-249095.048,299.8786179,0.95800248
23100,-314218.3734,65102.0424,-249116.331,301.5933549,0.95800248
23200,-313941.9276,64955.89971,-248986.0278,300.9163306,0.95800248
23300,-314277.2899,65326.47244,-248950.8175,302.6330551,0.95800248
23400,-314177.708,65007.00447,-249170.7035,301.1530797,0.95800248
23500,-314102.3696,64653.20069,-249449.1689,299.5140395,0.95800248
23600,-314321.9573,64561.78347,-249760.1738,299.0905378,0.95800248
23700,-314756.9612,64979.50227,-249777.4589,301.0256724,0.95800248
23800,-314759.745,64940.6098,-249819.1352,300.8454981,0.95800248
23900,-314648.4059,64371.86094,-250276.5449,298.2106979,0.95800248
24000,-314512.2776,63792.86305,-250719.4145,295.5284177,0.95800248
24100,-314626.0403,63989.01506,-250637.0252,296.4371165,0.95800248
24200,-314757.511,64396.92566,-250360.5853,298.3268133,0.95800248
24300,-315163.6067,64737.93562,-250425.6711,299.9065847,0.95800248
24400,-314774.4957,64467.61768,-250306.878,298.654303,0.95800248
24500,-314497.2123,64041.23522,-250455.977,296.6790329,0.95800248
24600,-314735.6662,63825.79451,-250909.8716,295.6809769,0.95800248
24700,-314456.4303,63884.43513,-250571.9952,295.9526369,0.95800248
24800,-314609.6137,64295.40989,-250314.2038,297.8565289,0.95800248
24900,-314831.3582,64577.09379,-250254.2644,299.1614647,0.95800248
25000,-314581.663,64277.11444,-250304.5485,297.7717729,0.95800248
25100,-314208.0459,63880.23393,-250327.812,295.9331743,0.95800248
25200,-314933.7865,64460.2655,-250473.521,298.6202431,0.95800248
25300,-314373.4401,64277.02555,-250096.4146,297.7713611,0.95800248
25400,-315071.5526,65027.21349,-250044.3392,301.2467006,0.95800248
25500,-314588.5544,64828.0178,-249760.5366,300.3239016,0.95800248
25600,-314616.9662,64835.6789,-249781.2873,300.3593926,0.95800248
25700,-314073.4425,64089.49877,-249983.9437,296.9026198,0.95800248
25800,-314231.7298,64423.5921,-249808.1377,298.450349,0.95800248
25900,-315146.105,65639.84727,-249506.2577,304.0848032,0.95800248
26000,-314765.0593,65411.81648,-249353.2429,303.028422,0.95800248
26100,-314220.2195,64781.17392,-249439.0455,300.1068915,0.95800248
26200,-314096.0445,64594.40634,-249501.6382,299.2416673,0.95800248
26300,-314268.4952,64804.55329,-249463.9419,300.2151994,0.95800248
26400,-314209.4871,64828.19022,-249381.2969,300.3247003,0.95800248
